label,type,feature,score,frequency,rank
presumption,word,possible,0.01775246951494784,7,7
presumption,word,free,0.017444357837526805,10,8
presumption,word,real,0.016504161105182498,5,9
presumption,word,aggression,0.01618420620492016,6,10
presumption,word,opportunity,0.01556976408305916,6,11
presumption,word,right,0.015325390752342192,6,12
presumption,word,provide,0.015133525032837308,6,13
presumption,word,ought,0.014998362953250213,5,14
presumption,word,needed,0.014603623735805808,5,15
presumption,bigram,social security,0.014420842559938762,3,1
presumption,bigram,free nations,0.01294649001398478,3,2
presumption,bigram,affairs men,0.011235955056179775,2,3
presumption,bigram,know going,0.011235955056179775,2,4
presumption,bigram,earned income,0.010019410044014325,2,5
presumption,bigram,private enterprise,0.009590487534755885,2,6
presumption,bigram,willing work,0.009590487534755885,2,7
presumption,bigram,states america,0.009041047356724483,3,8
presumption,bigram,state local,0.008373942522590435,2,9
presumption,bigram,hard work,0.006369775007517974,2,10
presumption,bigram,ve worked,0.004999496637071436,2,11
presumption,bigram,united states,-0.006969547387507196,5,12
exaggeration,word,america,0.07679421100111726,7,1
exaggeration,word,world,0.03969611120975793,6,2
exaggeration,word,people,0.015362401790948527,6,3
exaggeration,bigram,taken place,0.03571428571428571,2,1
exaggeration,bigram,human rights,0.0335956416464891,2,2
exaggeration,bigram,united states,0.027088377723970932,3,3
rhetorical_framing,word,world,0.021730938470478186,49,1
rhetorical_framing,word,nation,0.019022065138709084,28,2
rhetorical_framing,word,america,0.018614989445333026,39,3
rhetorical_framing,word,peace,0.018277147125792207,28,4
rhetorical_framing,word,freedom,0.016111297909825312,20,5
rhetorical_framing,word,law,0.01369355244390338,18,6
rhetorical_framing,word,american,0.013168648272409315,22,7
rhetorical_framing,word,best,0.012443710312646607,16,8
rhetorical_framing,word,good,0.012344011057045256,19,9
rhetorical_framing,word,work,0.011900347703247393,33,10
rhetorical_framing,word,democracy,0.011501753777472888,15,11
rhetorical_framing,word,let,0.011301797112393099,21,12
rhetorical_framing,word,build,0.011261860551848525,16,13
rhetorical_framing,word,country,0.010876958286847782,27,14
rhetorical_framing,word,economy,0.01038754973239059,17,15
rhetorical_framing,bigram,human rights,0.006968529841456666,4,1
rhetorical_framing,bigram,free world,0.0056603773584905665,3,2
rhetorical_framing,bigram,21st century,0.0050755652756015335,3,3
rhetorical_framing,bigram,military strength,0.0050755652756015335,3,4
rhetorical_framing,bigram,federal government,0.004808141255666721,4,5
rhetorical_framing,bigram,social security,0.004808141255666721,4,6
rhetorical_framing,bigram,law enforcement,0.0044907531927125014,3,7
rhetorical_framing,bigram,good citizens,0.004243489844778773,3,8
rhetorical_framing,bigram,standard living,0.0039962264968450446,3,9
rhetorical_framing,bigram,affairs men,0.0037735849056603774,2,10
rhetorical_framing,bigram,america going,0.0037735849056603774,2,11
rhetorical_framing,bigram,america world,0.0037735849056603774,2,12
rhetorical_framing,bigram,british values,0.0037735849056603774,2,13
rhetorical_framing,bigram,dangerous weapons,0.0037735849056603774,2,14
rhetorical_framing,bigram,face future,0.0037735849056603774,2,15
