label,error_type,pred,true,speaker,year,text
emotion_appeal,FP,1,0,,2016.0,We all know the Journey of the Nishiyuu: the Journey of the People.
emotion_appeal,FN,0,1,The Rt Hon Liz Kendall MP,,"8 days ago, in response to the abhorrent – and illegal – spreading of sexualised deepfake images of women and children without their consent, by Grok, I said we would uphold British values and British laws."
emotion_appeal,FN,0,1,,2020.0,"Staying indoors as much as possible and not seeing friends and family is a big adjustment for everyone, but it’s especially hard for some people."
emotion_appeal,FN,0,1,,,The United Kingdom applauds the continued commitment of Syria’s leadership to comply with the Chemical Weapons Convention and to meet its obligations under Resolution 2118 and we commend the continued professionalism and dedication of the OPCW technical secretariat staff who carry out their work in Syria under difficult conditions.
emotion_appeal,FN,0,1,George Bush,1990.0,"We are in a period of great transition, great hope, and yet great uncertainty."
emotion_appeal,FP,1,0,Woodrow Wilson,1914.0,"A powerful navy we have always regarded as our proper and natural means of defense, and it has always been of defense that we have thought, never of aggression or of conquest."
emotion_appeal,FN,0,1,U.S. Congress,,"But Congress, factions and domineering, had undertaken to poison the minds of the American people."" Specification Third."
emotion_appeal,FP,1,0,George Bush,1991.0,Now we face another defining hour for America and the world.
emotion_appeal,FN,0,1,,2018.0,"It means hundreds of thousands of Canadians who work long hours every day to put food on their table, and to build this country, depend on this project getting built."
emotion_appeal,FP,1,0,Richard Nixon,1973.0,I think of the dreams they had for America and I think of how each recognized that he needed help far beyond himself in order to make those dreams come true.
emotion_appeal,FP,1,0,,2016.0,"All of us gathered in this room today must never allow Canadians, including Indigenous Peoples, to think or believe that reconciliation can’t or won’t work."
emotion_appeal,FP,1,0,George Bush,1989.0,And our great parties have too often been far apart and untrusting of each other.
emotion_appeal,FP,1,0,Lyndon B. Johnson,1966.0,In Africa and Asia and Latin America it is shattering the designs of those who would subdue others to their ideas or their will.
emotion_appeal,FN,0,1,The Rt Hon Bridget Phillipson MP,,"And I’m delighted that companies like BESA, Microsoft and Pearson are partnering with us to meet those standards."
emotion_appeal,FP,1,0,Barack Obama,2014.0,"But if Iran's leaders do seize the chance—and we'll know soon enough—then Iran could take an important step to rejoin the community of nations, and we will have resolved one of the leading security challenges of our time without the risks of war."
emotion_appeal,FN,0,1,Calvin Coolidge,1923.0,The Army is a guarantee of the security of our citizens at home; the Navy is a guarantee of the security of our citizens abroad.
emotion_appeal,FP,1,0,Harry S Truman,1951.0,The free world has power and resources to meet these two forms of aggression--resources that are far greater than those of the Soviet dictatorship.
emotion_appeal,FN,0,1,U.S. Congress,1974.0,"Nixon has acted in a manner contrary to his trust as President and subversive of constitutional government, to the great prejudice of the cause of law and justice and to the manifest injury of the people of the United States."
emotion_appeal,FP,1,0,Warren G. Harding,1922.0,"They are met here by our invitation, not in our aloofness, and they accept our hospitality because they have faith in our unselfishness and believe in our helpfulness."
emotion_appeal,FN,0,1,,2020.0,I want to assure Canadians that our government is working on all fronts to support the grieving families and to get answers to our questions.
emotion_appeal,FN,0,1,"Joseph R. Biden, Jr.",2024.0,"Imagine a future with affordable childcare, millions of families can get what they need to go to work to help grow the economy."
authority_appeal,FP,1,0,Woodrow Wilson,1914.0,It was ratified in May by the German Government and in August by the Parliament of Great Britain.
authority_appeal,FN,0,1,Warren G. Harding,1921.0,"This foundation in the law, dealing with the modern conditions of social and economic life, would hasten the building of the temple of peace in industry which a rejoicing nation would acclaim."
authority_appeal,FN,0,1,The Rt Hon Liz Kendall MP,,"8 days ago, in response to the abhorrent – and illegal – spreading of sexualised deepfake images of women and children without their consent, by Grok, I said we would uphold British values and British laws."
authority_appeal,FN,0,1,,,The United Kingdom applauds the continued commitment of Syria’s leadership to comply with the Chemical Weapons Convention and to meet its obligations under Resolution 2118 and we commend the continued professionalism and dedication of the OPCW technical secretariat staff who carry out their work in Syria under difficult conditions.
authority_appeal,FN,0,1,Sir Martyn Oliver,,"Because I know that if Ofsted does not do its job with rigour, then we fail in our duty to the next generation."
authority_appeal,FN,0,1,George W. Bush,2004.0,"As of this month, that country has a new constitution guaranteeing free elections and full participation by women."
authority_appeal,FP,1,0,Franklin D. Roosevelt,1939.0,But the mere fact that we rightly decline to intervene with arms to prevent acts of aggression does not mean that we must act as if there were no aggression at all.
authority_appeal,FN,0,1,The Rt Hon David Lammy MP,,That is why my Government is today pledging to work with some of our best judicial expertise to train Ukrainian judges – to help further their skills in resolving commercial disputes fairly and efficiently.
polarization,FN,0,1,Harry S Truman,1949.0,"They will test our courage, our devotion to duty, and our concept of liberty."
polarization,FP,1,0,George W. Bush,2006.0,"Dictatorships shelter terrorists, and feed resentment and radicalism, and seek weapons of mass destruction."
polarization,FN,0,1,The Rt Hon Yvette Cooper MP,,"There is a war being waged on the bodies of women and girls, and I told the women that I spoke to in Adre that I would bring their voices and their stories to the United Nations and to the world and that is what we are doing today because the world must hear the voices of the women of Sudan, and not the military men perpetuating this conflict."
polarization,FP,1,0,Woodrow Wilson,1914.0,"A powerful navy we have always regarded as our proper and natural means of defense, and it has always been of defense that we have thought, never of aggression or of conquest."
polarization,FN,0,1,U.S. Congress,,"But Congress, factions and domineering, had undertaken to poison the minds of the American people."" Specification Third."
polarization,FP,1,0,,2016.0,"All of us gathered in this room today must never allow Canadians, including Indigenous Peoples, to think or believe that reconciliation can’t or won’t work."
polarization,FP,1,0,Lyndon B. Johnson,1966.0,In Africa and Asia and Latin America it is shattering the designs of those who would subdue others to their ideas or their will.
polarization,FP,1,0,Barack Obama,2016.0,"For even without ISIL, even without Al Qaida, instability will continue for decades in many parts of the world: in the Middle East, in Afghanistan and parts of Pakistan, in parts of Central America, in Africa and Asia."
polarization,FP,1,0,Franklin D. Roosevelt,1939.0,But the mere fact that we rightly decline to intervene with arms to prevent acts of aggression does not mean that we must act as if there were no aggression at all.
polarization,FN,0,1,George Bush,1990.0,"And today, with communism crumbling, our aim must be to ensure democracy's advance, to take the lead in forging peace and freedom's best hope: a great and growing commonwealth of free nations."
presumption,FP,1,0,Franklin D. Roosevelt,1935.0,"In the spring of 1933 the issue of destitution seemed to stand apart; today, in the light of our experience and our new national policy, we find we can put people to work in ways which conform to, initiate and carry forward the broad principles of that policy."
presumption,FP,1,0,William J. Clinton,1999.0,Parents should never have to worry about choosing between their children and their work.
presumption,FP,1,0,Dwight D. Eisenhower,1953.0,"These basic precepts are not lofty abstractions, far removed from matters of daily living."
presumption,FP,1,0,"Joseph R. Biden, Jr.",2024.0,And we're standing up against China's unfair economic practices.
presumption,FP,1,0,William J. Clinton,1996.0,"In particular, I challenge the fathers of this country to love and care for their children."
presumption,FN,0,1,Ronald Reagan,1987.0,The quest for excellence into the 21st century begins in the schoolroom but must go next to the workplace.
presumption,FP,1,0,Dwight D. Eisenhower,1957.0,Any program that endangers our economy could defeat us.
presumption,FP,1,0,Richard Nixon,1973.0,"And let each of us reach out for that one precious quality government cannot provide--a new level of respect for the rights and feelings of one another, a new level of respect for the individual human dignity which is the cherished birthright of every American."
presumption,FN,0,1,Dwight D. Eisenhower,1955.0,The military retirement pay system should remain separate and unchanged.
presumption,FN,0,1,"Joseph R. Biden, Jr.",2023.0,"No parent should have to drive by a McDonald's parking lot to help their—do their homework online with their kids, which many—thousands were doing across the country."
presumption,FP,1,0,,2016.0,"Our citizens, the nearly 7.5 billion people we collectively serve, are better than the cynics and pessimists think they are."
presumption,FN,0,1,Richard Nixon,1970.0,"Second, the time has come to assess and reform all of our institutions of government at the Federal, State, and local level."
presumption,FN,0,1,Dwight D. Eisenhower,1958.0,"But of all the works of peace, none is more needed now than a real first step toward disarmament."
presumption,FN,0,1,Richard Nixon,1971.0,Now it is time we became the healthiest nation in the world.
presumption,FN,0,1,"Joseph R. Biden, Jr.",2022.0,You play with them or you don't get to play at all.
presumption,FP,1,0,Woodrow Wilson,1917.0,One very embarrassing obstacle that stands in our way is that we are at war with Germany but not with her allies.
presumption,FN,0,1,,2016.0,We all know the Journey of the Nishiyuu: the Journey of the People.
presumption,FN,0,1,,2016.0,"And I know that these are not easy conversations to have, but they are necessary ones."
presumption,FN,0,1,,2020.0,"Staying indoors as much as possible and not seeing friends and family is a big adjustment for everyone, but it’s especially hard for some people."
presumption,FN,0,1,Ronald Reagan,1984.0,Companies interested in putting payloads into space must have ready access to private sector launch services.
presumption,FP,1,0,Jimmy Carter,1980.0,"I've limited other commerce with the Soviet Union, and I've asked our allies and friends to join with us in restraining their own trade with the Soviets and not to replace our own embargoed items."
presumption,FN,0,1,Harry S Truman,1948.0,"Free competition is the key to industrial development, full production and employment, fair prices, and an ever improving standard of living."
presumption,FP,1,0,Sir Martyn Oliver,,"Because I know that if Ofsted does not do its job with rigour, then we fail in our duty to the next generation."
presumption,FP,1,0,George W. Bush,2006.0,"Lacking the military strength to challenge us directly, the terrorists have chosen the weapon of fear."
presumption,FN,0,1,Barack Obama,2016.0,"I have no doubt, a President with the gifts of Lincoln or Roosevelt might have better bridged the divide, and I guarantee, I'll keep trying to be better so long as I hold this office."
presumption,FP,1,0,Barack Obama,2009.0,"On this day, we gather because we have chosen hope over fear, unity of purpose over conflict and discord."
presumption,FN,0,1,Dwight D. Eisenhower,1953.0,A unified and dynamic effort in this whole field is essential to the security of the United States and of the other peoples in the community of free nations.
presumption,FP,1,0,U.S. Congress,,"But Congress, factions and domineering, had undertaken to poison the minds of the American people."" Specification Third."
presumption,FP,1,0,Lyndon B. Johnson,1966.0,In Africa and Asia and Latin America it is shattering the designs of those who would subdue others to their ideas or their will.
presumption,FP,1,0,Barack Obama,2014.0,"But if Iran's leaders do seize the chance—and we'll know soon enough—then Iran could take an important step to rejoin the community of nations, and we will have resolved one of the leading security challenges of our time without the risks of war."
presumption,FP,1,0,George W. Bush,2007.0,"By killing and terrorizing Americans, they want to force our country to retreat from the world and abandon the cause of liberty."
presumption,FP,1,0,Calvin Coolidge,1923.0,The Army is a guarantee of the security of our citizens at home; the Navy is a guarantee of the security of our citizens abroad.
presumption,FP,1,0,Seema Malhotra MP,,"Put simply, it means we don’t rely on one single way of working together."
presumption,FN,0,1,Barack Obama,2016.0,"For even without ISIL, even without Al Qaida, instability will continue for decades in many parts of the world: in the Middle East, in Afghanistan and parts of Pakistan, in parts of Central America, in Africa and Asia."
presumption,FP,1,0,Harry S Truman,1951.0,The free world has power and resources to meet these two forms of aggression--resources that are far greater than those of the Soviet dictatorship.
presumption,FP,1,0,U.S. Congress,1974.0,"Nixon has acted in a manner contrary to his trust as President and subversive of constitutional government, to the great prejudice of the cause of law and justice and to the manifest injury of the people of the United States."
presumption,FP,1,0,Franklin D. Roosevelt,1939.0,But the mere fact that we rightly decline to intervene with arms to prevent acts of aggression does not mean that we must act as if there were no aggression at all.
presumption,FP,1,0,Warren G. Harding,1922.0,"They are met here by our invitation, not in our aloofness, and they accept our hospitality because they have faith in our unselfishness and believe in our helpfulness."
presumption,FP,1,0,George Bush,1990.0,"We recognize that the Soviet military threat in Europe is diminishing, but we see little change in Soviet strategic modernization."
exaggeration,FN,0,1,George W. Bush,2006.0,"Dictatorships shelter terrorists, and feed resentment and radicalism, and seek weapons of mass destruction."
exaggeration,FP,1,0,The Rt Hon Yvette Cooper MP,,"There is a war being waged on the bodies of women and girls, and I told the women that I spoke to in Adre that I would bring their voices and their stories to the United Nations and to the world and that is what we are doing today because the world must hear the voices of the women of Sudan, and not the military men perpetuating this conflict."
exaggeration,FP,1,0,George W. Bush,2005.0,"Americans, at our best, value the life we see in one another and must always remember that even the unwanted have worth."
exaggeration,FP,1,0,Dwight D. Eisenhower,1957.0,Any program that endangers our economy could defeat us.
exaggeration,FP,1,0,,2016.0,"Our citizens, the nearly 7.5 billion people we collectively serve, are better than the cynics and pessimists think they are."
exaggeration,FN,0,1,The Rt Hon Lord Hermer KC,,"General Assembly, His Majesty’s grandfather, King George VI, told the delegates gathered in London this: in the long course of our history, no more important meeting has ever taken place within its boundaries."
exaggeration,FN,0,1,George W. Bush,2007.0,"And like so many other Americans who have volunteered to defend us, he has earned the respect and the gratitude of our entire country."
exaggeration,FN,0,1,"Joseph R. Biden, Jr.",2022.0,You play with them or you don't get to play at all.
exaggeration,FN,0,1,Barack Obama,2016.0,"For the loved ones we've all lost, for the families that we can still save, let's make America the country that cures cancer once and for all."
exaggeration,FP,1,0,George W. Bush,2006.0,"Lacking the military strength to challenge us directly, the terrorists have chosen the weapon of fear."
exaggeration,FP,1,0,Woodrow Wilson,1914.0,"A powerful navy we have always regarded as our proper and natural means of defense, and it has always been of defense that we have thought, never of aggression or of conquest."
exaggeration,FN,0,1,U.S. Congress,,"But Congress, factions and domineering, had undertaken to poison the minds of the American people."" Specification Third."
exaggeration,FN,0,1,Donald J. Trump (1st Term),2019.0,"Perhaps we can negotiate a different agreement, adding China and others, or perhaps we can't, in which case, we will outspend and outinnovate all others by far."
exaggeration,FP,1,0,Lyndon B. Johnson,1966.0,In Africa and Asia and Latin America it is shattering the designs of those who would subdue others to their ideas or their will.
exaggeration,FP,1,0,Barack Obama,2014.0,"But if Iran's leaders do seize the chance—and we'll know soon enough—then Iran could take an important step to rejoin the community of nations, and we will have resolved one of the leading security challenges of our time without the risks of war."
exaggeration,FP,1,0,George W. Bush,2007.0,"By killing and terrorizing Americans, they want to force our country to retreat from the world and abandon the cause of liberty."
exaggeration,FP,1,0,Barack Obama,2016.0,"For even without ISIL, even without Al Qaida, instability will continue for decades in many parts of the world: in the Middle East, in Afghanistan and parts of Pakistan, in parts of Central America, in Africa and Asia."
exaggeration,FP,1,0,Harry S Truman,1951.0,The free world has power and resources to meet these two forms of aggression--resources that are far greater than those of the Soviet dictatorship.
exaggeration,FP,1,0,George Bush,1990.0,"And today, with communism crumbling, our aim must be to ensure democracy's advance, to take the lead in forging peace and freedom's best hope: a great and growing commonwealth of free nations."
exaggeration,FN,0,1,William J. Clinton,1998.0,We have opened wide the doors of the world's best system of higher education.
exaggeration,FN,0,1,Ronald Reagan,1984.0,The last decade saw domestic spending surge literally out of control.
rhetorical_framing,FP,1,0,Franklin D. Roosevelt,1935.0,"In the spring of 1933 the issue of destitution seemed to stand apart; today, in the light of our experience and our new national policy, we find we can put people to work in ways which conform to, initiate and carry forward the broad principles of that policy."
rhetorical_framing,FN,0,1,William J. Clinton,1996.0,"Lake Erie was dead, and now it's a thriving resource."
rhetorical_framing,FN,0,1,U.S. Congress,2022.0,"They have been taking it day and night, but Bakhmut stands."
rhetorical_framing,FN,0,1,Barack Obama,2016.0,We also need benefits and protections that provide a basic measure of security.
rhetorical_framing,FN,0,1,Ronald Reagan,1987.0,The quest for excellence into the 21st century begins in the schoolroom but must go next to the workplace.
rhetorical_framing,FN,0,1,Donald J. Trump (1st Term),2018.0,"In April, this will be the last time you will ever file under the old and very broken system, and millions of Americans will have more take-home pay starting next month—a lot more."
rhetorical_framing,FN,0,1,"Joseph R. Biden, Jr.",2024.0,"Folks at home, does anybody really think the Tax Code is fair?"
rhetorical_framing,FN,0,1,George Bush,1989.0,"My friends, we are not the sum of our possessions."
rhetorical_framing,FN,0,1,"Joseph R. Biden, Jr.",2023.0,"No parent should have to drive by a McDonald's parking lot to help their—do their homework online with their kids, which many—thousands were doing across the country."
rhetorical_framing,FN,0,1,The Rt Hon Lord Hermer KC,,"General Assembly, His Majesty’s grandfather, King George VI, told the delegates gathered in London this: in the long course of our history, no more important meeting has ever taken place within its boundaries."
rhetorical_framing,FN,0,1,George W. Bush,2008.0,This evening I want to speak directly to our men and women on the frontlines.
rhetorical_framing,FP,1,0,Ronald Reagan,1984.0,Their hearts carry without complaint the pains of family and community problems.
rhetorical_framing,FN,0,1,The Rt Hon Liz Kendall MP,,So I can today confirm that we will build on all the measures I have already outlined and legislate in the Crime and Policing Bill – which is currently going through Parliament - to criminalise nudification apps.
rhetorical_framing,FN,0,1,,2016.0,"And I know that these are not easy conversations to have, but they are necessary ones."
rhetorical_framing,FN,0,1,,,The United Kingdom applauds the continued commitment of Syria’s leadership to comply with the Chemical Weapons Convention and to meet its obligations under Resolution 2118 and we commend the continued professionalism and dedication of the OPCW technical secretariat staff who carry out their work in Syria under difficult conditions.
rhetorical_framing,FN,0,1,The Rt Hon Heidi Alexander MP,,We bring opportunity a bit closer and make the country a little bit fairer.
rhetorical_framing,FN,0,1,George Bush,1990.0,"We are in a period of great transition, great hope, and yet great uncertainty."
rhetorical_framing,FN,0,1,Harry S Truman,1948.0,"Free competition is the key to industrial development, full production and employment, fair prices, and an ever improving standard of living."
rhetorical_framing,FN,0,1,Barack Obama,2016.0,"I have no doubt, a President with the gifts of Lincoln or Roosevelt might have better bridged the divide, and I guarantee, I'll keep trying to be better so long as I hold this office."
rhetorical_framing,FN,0,1,Dwight D. Eisenhower,1953.0,Public interest similarly demands one prompt specific action in protection of the general consumer.
rhetorical_framing,FN,0,1,The Rt Hon Heidi Alexander MP,,Where its customers don’t just have a better experience but where they become rail’s strongest advocates.
rhetorical_framing,FN,0,1,Ronald Reagan,1983.0,"I know this is strong medicine, but so far, we have only cut the rate of increase in Federal spending."
rhetorical_framing,FN,0,1,Donald J. Trump (1st Term),2019.0,"Perhaps we can negotiate a different agreement, adding China and others, or perhaps we can't, in which case, we will outspend and outinnovate all others by far."
rhetorical_framing,FN,0,1,,2018.0,"It means hundreds of thousands of Canadians who work long hours every day to put food on their table, and to build this country, depend on this project getting built."
rhetorical_framing,FP,1,0,Richard Nixon,1973.0,I think of the dreams they had for America and I think of how each recognized that he needed help far beyond himself in order to make those dreams come true.
rhetorical_framing,FN,0,1,George Bush,1989.0,And our great parties have too often been far apart and untrusting of each other.
rhetorical_framing,FN,0,1,Harry S Truman,1949.0,"With the cooperation of business, private capital, agriculture, and labor in this country, this program can greatly increase the industrial activity in other nations and can raise substantially their standards of living."
rhetorical_framing,FN,0,1,Harry S Truman,1951.0,"And we are continuing to build a strong and growing economy, able to maintain whatever effort may be required for as long as necessary."
rhetorical_framing,FP,1,0,Barack Obama,2016.0,"For even without ISIL, even without Al Qaida, instability will continue for decades in many parts of the world: in the Middle East, in Afghanistan and parts of Pakistan, in parts of Central America, in Africa and Asia."
rhetorical_framing,FP,1,0,The Rt Hon David Lammy MP,,That is why my Government is today pledging to work with some of our best judicial expertise to train Ukrainian judges – to help further their skills in resolving commercial disputes fairly and efficiently.
rhetorical_framing,FN,0,1,William J. Clinton,1998.0,We have opened wide the doors of the world's best system of higher education.
rhetorical_framing,FP,1,0,George Bush,1990.0,"We recognize that the Soviet military threat in Europe is diminishing, but we see little change in Soviet strategic modernization."
