speaker,emotion_appeal_mean,emotion_appeal_sum,emotion_appeal_count,authority_appeal_mean,authority_appeal_sum,authority_appeal_count,polarization_mean,polarization_sum,polarization_count,presumption_mean,presumption_sum,presumption_count,exaggeration_mean,exaggeration_sum,exaggeration_count,rhetorical_framing_mean,rhetorical_framing_sum,rhetorical_framing_count
John F. Kennedy,0.231,6,26,0.038,1,26,0.077,2,26,0.192,5,26,0.038,1,26,0.692,18,26
"Joseph R. Biden, Jr.",0.417,15,36,0.028,1,36,0.056,2,36,0.167,6,36,0.167,6,36,0.556,20,36
Kanishka Narayan MP,0.0,0,4,0.0,0,4,0.0,0,4,0.25,1,4,0.0,0,4,0.5,2,4
Kumar Iyer CMG,0.0,0,5,0.0,0,5,0.0,0,5,0.0,0,5,0.0,0,5,0.4,2,5
Lord Hendy of Richmond Hill CBE,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1
Luke Pollard MP,0.0,0,3,0.0,0,3,0.0,0,3,0.0,0,3,0.0,0,3,0.333,1,3
Lyndon B. Johnson,0.211,8,38,0.105,4,38,0.079,3,38,0.105,4,38,0.026,1,38,0.579,22,38
Neil Holland,0.0,0,1,0.0,0,1,1.0,1,1,0.0,0,1,0.0,0,1,1.0,1,1
Richard Nixon,0.24,6,25,0.0,0,25,0.04,1,25,0.28,7,25,0.0,0,25,0.64,16,25
Ronald Reagan,0.234,11,47,0.043,2,47,0.0,0,47,0.234,11,47,0.064,3,47,0.511,24,47
Seema Malhotra MP,0.5,1,2,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,2,0.5,1,2
Sir Martyn Oliver,0.0,0,6,0.167,1,6,0.0,0,6,0.0,0,6,0.0,0,6,0.333,2,6
The Rt Hon Bridget Phillipson MP,0.286,2,7,0.0,0,7,0.0,0,7,0.0,0,7,0.0,0,7,0.571,4,7
The Rt Hon Darren Jones MP,0.0,0,4,0.25,1,4,0.0,0,4,0.0,0,4,0.25,1,4,0.0,0,4
The Rt Hon David Lammy MP,0.0,0,3,0.333,1,3,0.0,0,3,0.0,0,3,0.0,0,3,0.333,1,3
The Rt Hon Heidi Alexander MP,0.0,0,9,0.0,0,9,0.0,0,9,0.111,1,9,0.0,0,9,0.444,4,9
The Rt Hon John Healey MP,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,2
The Rt Hon Liz Kendall MP,0.25,2,8,0.125,1,8,0.125,1,8,0.0,0,8,0.0,0,8,0.375,3,8
The Rt Hon Lord Hermer KC,0.5,4,8,0.25,2,8,0.0,0,8,0.0,0,8,0.375,3,8,0.75,6,8
The Rt Hon Pat McFadden MP,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,2
The Rt Hon Sir Keir Starmer KCB KC MP,0.375,3,8,0.0,0,8,0.0,0,8,0.375,3,8,0.0,0,8,0.5,4,8
The Rt Hon Wes Streeting MP,0.167,2,12,0.0,0,12,0.0,0,12,0.083,1,12,0.083,1,12,0.5,6,12
The Rt Hon Yvette Cooper MP,0.167,1,6,0.0,0,6,0.167,1,6,0.167,1,6,0.0,0,6,0.333,2,6
U.S. Congress,0.2,5,25,0.08,2,25,0.08,2,25,0.04,1,25,0.04,1,25,0.32,8,25
Warren G. Harding,0.214,3,14,0.071,1,14,0.143,2,14,0.286,4,14,0.0,0,14,0.571,8,14
William J. Clinton,0.365,27,74,0.014,1,74,0.0,0,74,0.189,14,74,0.095,7,74,0.662,49,74
Woodrow Wilson,0.176,6,34,0.0,0,34,0.059,2,34,0.412,14,34,0.059,2,34,0.441,15,34
